Date,Price,Open,High,Low,Vol.,Change %
"Aug 02, 2020","11,105.80","11,802.60","12,061.10","10,730.70",698.62K,-5.91%
"Aug 01, 2020","11,803.10","11,333.20","11,847.70","11,226.10",611.47K,4.14%
"Jul 31, 2020","11,333.40","11,096.50","11,434.80","10,964.60",530.95K,2.14%
"Jul 30, 2020","11,096.20","11,105.80","11,164.40","10,861.60",501.14K,-0.09%
"Jul 29, 2020","11,105.90","10,908.40","11,336.50","10,771.80",576.83K,1.81%
"Jul 28, 2020","10,908.50","10,961.10","11,046.10","10,873.60",658.37K,-1.04%
"Jul 27, 2020","11,022.80","9,932.70","11,367.00","9,894.60",908.99K,10.98%
"Jul 26, 2020","9,932.50","9,690.00","10,086.60","9,645.90",415.07K,2.35%
"Jul 25, 2020","9,704.10","9,546.70","9,729.30","9,536.20",306.29K,1.65%
"Jul 24, 2020","9,546.40","9,599.20","9,626.20","9,480.50",359.16K,-0.55%
"Jul 23, 2020","9,599.60","9,513.60","9,646.50","9,451.10",425.66K,0.90%
"Jul 22, 2020","9,513.70","9,387.40","9,523.10","9,296.00",386.00K,1.35%
"Jul 21, 2020","9,387.30","9,162.30","9,426.90","9,155.10",458.99K,2.46%
"Jul 20, 2020","9,162.40","9,208.10","9,218.40","9,139.90",312.98K,-0.50%
"Jul 19, 2020","9,208.00","9,170.10","9,224.80","9,106.40",265.25K,0.41%
"Jul 18, 2020","9,170.20","9,155.80","9,198.80","9,126.70",276.40K,0.16%
"Jul 17, 2020","9,155.80","9,135.40","9,181.90","9,091.50",310.92K,0.22%
"Jul 16, 2020","9,135.30","9,198.70","9,224.20","9,052.00",429.04K,-0.69%
"Jul 15, 2020","9,198.70","9,253.60","9,270.20","9,168.70",429.84K,-0.59%
"Jul 14, 2020","9,253.40","9,243.10","9,274.80","9,135.70",453.83K,0.11%
"Jul 13, 2020","9,243.60","9,300.50","9,329.60","9,207.60",456.87K,-0.62%
"Jul 12, 2020","9,300.80","9,234.20","9,337.80","9,170.40",366.88K,0.73%
"Jul 11, 2020","9,233.30","9,285.80","9,295.50","9,184.20",353.92K,-0.56%
"Jul 10, 2020","9,285.10","9,239.00","9,309.80","9,131.90",418.47K,0.53%
"Jul 09, 2020","9,235.70","9,430.10","9,434.50","9,176.00",444.27K,-2.06%
"Jul 08, 2020","9,429.90","9,256.30","9,458.30","9,233.10",509.94K,1.88%
"Jul 07, 2020","9,256.00","9,338.80","9,371.20","9,209.30",420.55K,-0.89%
"Jul 06, 2020","9,339.00","9,080.40","9,363.00","9,063.20",510.27K,2.84%
"Jul 05, 2020","9,081.00","9,134.30","9,149.60","8,932.10",314.10K,-0.58%
"Jul 04, 2020","9,134.40","9,067.10","9,182.30","9,049.60",261.25K,0.74%
"Jul 03, 2020","9,067.10","9,085.00","9,120.40","9,050.90",333.88K,-0.20%
"Jul 02, 2020","9,085.10","9,229.90","9,259.70","8,962.10",483.10K,-1.57%
"Jul 01, 2020","9,229.90","9,135.90","9,289.00","9,101.10",366.78K,1.03%
"Jun 30, 2020","9,135.40","9,186.00","9,199.80","9,075.30",381.73K,-0.54%
